"Windpark-ID","Name des Windparks","Betreiber","Eigentuemergesellschaft","Bundesland","Landkreis/Region","PLZ","Ort","Geokoordinaten","Lagebeschreibung","Anzahl WEA","Hersteller/Modell","Nennleistung pro WEA (kW)","Gesamtleistung (MW)","Nabenhoehe (m)","Rotordurchmesser (m)","Baujahr","Inbetriebnahmedatum (TT.MM.JJJJ)","Technologie-Typ","EEG-Foerderende (TT.MM.JJJJ)","Netzanschlusspunkt","PPA-Vertraege","Genehmigungen","Wartungsvertrag","Aktueller Status","Repowering-Datum (TT.MM.JJJJ)","Geplante Stilllegung (TT.MM.JJJJ)","Verfuegbarkeitsquote (%)","Produzierte Jahresenergiemenge (MWh)","Zustaendiger Netzbetreiber","Zustaendige Kommune/Behoerde","Notfall-Kontakt","Datenverantwortlicher","Bemerkungen","Dokumentenlinks"
"WP_1012","Windpark Nordsee","NordWind AG","Green Investments AG","Niedersachsen","Landkreis Aurich","26506","Norden","53.5910° N, 7.2060° E","Küstennahe Lage mit hohen Windgeschwindigkeiten","10","Vestas V136","4000","40.0","142","136","2025","10.04.2025","Onshore","10.04.2045","UW Norden Ost","5-Jahres-PPA mit Stadtwerke Q","Genehmigungsnr. 24/67/1111","Vestas Service, bis 31.12.2040","in Betrieb","","","97.5","85000","TenneT","Stadt Norden","+49 49 31234567","Datenmanagement - Nils Kuesten","Zufahrt über Deichstraße","\\Server\\WindparkNordsee\\Dokumente"
"WP_1013","Windpark Fläming","SolarWind GmbH","Windkraft GmbH","Brandenburg","Potsdam-Mittelmark","14806","Bad Belzig","52.1419° N, 12.5923° E","Großes Waldgebiet, spezielle Naturschutzauflagen","7","Enercon E-126","3500","24.5","135","126","2024","25.07.2024","Onshore","25.07.2044","UW Bad Belzig","3-Jahres-PPA mit Energieversorger G","Genehmigungsnr. 25/89/2222","Enercon, bis 31.12.2039","in Betrieb","","","96.8","61000","50Hertz","Stadt Bad Belzig","+49 33 84123456","Datenmanagement - Laura Wald","Zufahrt nur über Forstwege","\\Server\\WindparkFlaeming\\Dokumente"
"WP_1014","Windpark Weserblick","GreenEnergy GmbH","Kraftwerk Solutions AG","Bremen","Stadt Bremen","28195","Bremen","53.0765° N, 8.8089° E","Nähe zur Weser, urbanes Umfeld","5","GE 3.8-130","3800","19.0","137","130","2023","01.08.2023","Onshore","01.08.2043","UW Bremen-Mitte","10-Jahres-PPA mit Regionalversorger H","Genehmigungsnr. 26/12/3333","GE Service, bis 31.12.2040","in Betrieb","","","95.2","48000","TenneT","Stadt Bremen","+49 42 11234567","Datenmanagement - Henrik Stadt","Auflagen zum Schallschutz","\\Server\\WindparkWeserblick\\Dokumente"
"WP_1015","Windpark Oberpfalz","Energie Bayern GmbH","Green Investments AG","Bayern","Landkreis Cham","93413","Cham","49.2256° N, 12.6646° E","Hügelige Landschaft, moderate Windverhältnisse","6","Siemens SWT-3.6","3600","21.6","125","120","2024","15.09.2024","Onshore","15.09.2044","UW Cham Nord","5-Jahres-PPA mit Energieversorger I","Genehmigungsnr. 27/34/4444","Siemens Service, bis 31.12.2041","in Betrieb","","","96.0","60000","Bayernwerk","Landratsamt Cham","+49 99 71234567","Datenmanagement - Franz Berg","Zufahrt über Landstraße","\\Server\\WindparkOberpfalz\\Dokumente"
"WP_1016","Windpark Nordlicht","NordWind AG","Kraftwerk Solutions AG","Mecklenburg-Vorpommern","Landkreis Rostock","18146","Rostock","54.0924° N, 12.0991° E","Küstennahe Lage, hoher Salzgehalt in der Luft","12","Vestas V150","4000","48.0","145","150","2025","10.05.2025","Onshore","10.05.2045","UW Rostock Seehafen","3-Jahres-PPA mit Oekostromanbieter D","Genehmigungsnr. 28/56/5555","Vestas Service, bis 31.12.2042","in Betrieb","","","97.2","92000","50Hertz","Stadt Rostock","+49 38 11234567","Datenmanagement - Olaf Meer","Korrosionsschutz erforderlich","\\Server\\WindparkNordlicht\\Dokumente"
"WP_1017","Windpark Münsterland","Energie Westfalen GmbH","Kraftwerk Solutions AG","Nordrhein-Westfalen","Kreis Steinfurt","48565","Steinfurt","52.1500° N, 7.3386° E","Flaches Land, gute Erschliessung","10","Enercon E-115","3000","30.0","135","115","2023","20.04.2023","Onshore","20.04.2043","UW Steinfurt Nord","7-Jahres-PPA mit Stadtwerke J","Genehmigungsnr. 29/78/6666","Enercon, bis 31.12.2040","in Betrieb","","","95.7","68000","Amprion","Stadt Steinfurt","+49 25 11234567","Datenmanagement - Mona West","Zufahrtsweg über Privatgrundstück","\\Server\\WindparkMuensterland\\Dokumente"
"WP_1018","Windpark Spessart","SolarWind GmbH","Windkraft GmbH","Bayern","Landkreis Aschaffenburg","63820","Elsenfeld","49.8544° N, 9.1628° E","Waldreiches Mittelgebirge, eingeschränkte Zufahrt","4","Nordex N149","4500","18.0","125","149","2026","01.07.2026","Onshore","01.07.2046","UW Elsenfeld Ost","5-Jahres-PPA mit Energieversorger K","Genehmigungsnr. 30/90/7777","Nordex Service, bis 31.12.2042","in Betrieb","","","96.9","54000","TenneT","Landratsamt Aschaffenburg","+49 60 11234567","Datenmanagement - Helga Bergwald","Zufahrt nur mit Sondergenehmigung","\\Server\\WindparkSpessart\\Dokumente"
"WP_1019","Windpark Alpenrose","Energie Baden-Württemberg AG","Green Investments AG","Baden-Württemberg","Landkreis Sigmaringen","72488","Sigmaringen","48.0880° N, 9.2250° E","Alpennahe Lage, hohe Schneelast im Winter","7","GE 3.8-130","3800","26.6","137","130","2027","15.10.2027","Onshore","15.10.2047","UW Sigmaringen Süd","3-Jahres-PPA mit Oekostromanbieter E","Genehmigungsnr. 31/12/8888","GE Service, bis 31.12.2043","in Betrieb","","","97.3","62000","Netze BW","Stadt Sigmaringen","+49 75 71234567","Datenmanagement - Karl Gipfel","Schneeräumung erforderlich","\\Server\\WindparkAlpenrose\\Dokumente"
"WP_1020","Windpark Hochwald","GreenEnergy GmbH","Wind und Sonne e.V.","Saarland","Landkreis St. Wendel","66606","St. Wendel","49.4667° N, 7.1700° E","Höhenzug im Saarland, starker Wind","6","Vestas V150","4000","24.0","145","150","2024","10.03.2024","Onshore","10.03.2044","UW St. Wendel","3-Jahres-PPA mit Stadtwerke L","Genehmigungsnr. 32/45/9999","Vestas Service, bis 31.12.2041","in Betrieb","","","96.5","56000","Amprion","Kreisverwaltung St. Wendel","+49 68 51234567","Datenmanagement - Paula Sturm","Zufahrt teils über Waldwege","\\Server\\WindparkHochwald\\Dokumente"
"WP_1021","Windpark Südbaden","Energie Baden-Württemberg AG","Kraftwerk Solutions AG","Baden-Württemberg","Landkreis Breisgau-Hochschwarzwald","79100","Freiburg im Breisgau","47.9959° N, 7.8494° E","Randlage Schwarzwald, sonnige Abschnitte","8","Enercon E-115","3000","24.0","135","115","2025","01.09.2025","Onshore","01.09.2045","UW Freiburg Süd","5-Jahres-PPA mit Ökostromanbieter G","Genehmigungsnr. 33/78/0001","Enercon, bis 31.12.2042","in Betrieb","","","96.8","50000","Netze BW","Stadt Freiburg","+49 76 11234567","Datenmanagement - Birgit Sonne","Naturschutzgebiet angrenzend","\\Server\\WindparkSuedbaden\\Dokumente"
"WP_1022","Windpark Lausitz","SolarWind GmbH","Green Investments AG","Brandenburg","Spree-Neisse","03149","Forst (Lausitz)","51.7350° N, 14.6392° E","Flaches, waldreiches Gebiet, Grenznähe Polen","7","Siemens SWT-3.6","3600","25.2","125","120","2026","15.04.2026","Onshore","15.04.2046","UW Forst Nord","3-Jahres-PPA mit Energieversorger M","Genehmigungsnr. 34/56/1112","Siemens Service, bis 31.12.2043","in Betrieb","","","97.1","62000","50Hertz","Stadt Forst (Lausitz)","+49 35 51234567","Datenmanagement - Kevin Wald","Achtung Biberpopulation","\\Server\\WindparkLausitz\\Dokumente"
"WP_1023","Windpark Hunsrück","NordWind AG","Windkraft GmbH","Rheinland-Pfalz","Rhein-Hunsrück-Kreis","55469","Simmern","49.9833° N, 7.5167° E","Höhenlage im Hunsrück, gute Windverhältnisse","6","GE 3.8-130","3800","22.8","137","130","2025","01.07.2025","Onshore","01.07.2045","UW Simmern Ost","7-Jahres-PPA mit Regionalversorger N","Genehmigungsnr. 35/90/2223","GE Service, bis 31.12.2041","in Betrieb","","","96.6","58000","50Hertz","Verbandsgemeinde Simmern","+49 67 61234567","Datenmanagement - Oliver Berg","Winterdienst nötig","\\Server\\WindparkHunsrueck\\Dokumente"
"WP_1024","Windpark Jadebusen","GreenEnergy GmbH","Kraftwerk Solutions AG","Niedersachsen","Landkreis Friesland","26340","Zetel","53.4136° N, 8.0092° E","Küstennahe Marschlandschaft, starke Winde","9","Vestas V136","4000","36.0","142","136","2024","20.08.2024","Onshore","20.08.2044","UW Zetel Nord","5-Jahres-PPA mit Stadtwerke P","Genehmigungsnr. 36/12/3334","Vestas Service, bis 31.12.2041","in Betrieb","","","97.4","75000","TenneT","Gemeinde Zetel","+49 44 53234567","Datenmanagement - Nadine Küste","Deichschutzvorgaben beachten","\\Server\\WindparkJadebusen\\Dokumente"
"WP_1025","Windpark Oberhavel","SolarWind GmbH","Green Investments AG","Brandenburg","Landkreis Oberhavel","16515","Oranienburg","52.7530° N, 13.2390° E","Nahe Berlin, teils urbanes Umfeld","8","Nordex N117","2500","20.0","141","117","2025","05.06.2025","Onshore","05.06.2045","UW Oranienburg","10-Jahres-PPA mit Oekostromanbieter H","Genehmigungsnr. 37/78/4445","Nordex Service, bis 31.12.2042","in Betrieb","","","96.9","56000","50Hertz","Stadt Oranienburg","+49 33 01234567","Datenmanagement - Frank Stadt","Schallschutzauflagen in der Nähe","\\Server\\WindparkOberhavel\\Dokumente"
"WP_1026","Windpark Rheinebene","Energie Westfalen GmbH","Windkraft GmbH","Rheinland-Pfalz","Landkreis Germersheim","76726","Germersheim","49.2230° N, 8.3670° E","Flaches Rheintal, Landwirtschaftliche Flächen","7","Siemens SWT-3.6","3600","25.2","125","120","2024","01.10.2024","Onshore","01.10.2044","UW Germersheim West","3-Jahres-PPA mit Energieversorger R","Genehmigungsnr. 38/56/5556","Siemens Service, bis 31.12.2041","in Betrieb","","","96.4","60000","Amprion","Stadt Germersheim","+49 72 74234567","Datenmanagement - Ralf Rhein","Flutrisiko bei Hochwasser","\\Server\\WindparkRheinebene\\Dokumente"
"WP_1027","Windpark Vogelsberg","GreenEnergy GmbH","Green Investments AG","Hessen","Vogelsbergkreis","36341","Lauterbach","50.6317° N, 9.3931° E","Mittelgebirge mit dichten Wäldern","6","Enercon E-126","3500","21.0","135","126","2025","25.03.2025","Onshore","25.03.2045","UW Lauterbach Ost","5-Jahres-PPA mit Stadtwerke S","Genehmigungsnr. 39/90/6667","Enercon, bis 31.12.2042","in Betrieb","","","96.7","57000","TenneT","Stadt Lauterbach","+49 66 41234567","Datenmanagement - Ursula Berg","Windstarke Hochlagen","\\Server\\WindparkVogelsberg\\Dokumente"
"WP_1028","Windpark Ruhrtal","NordWind AG","Kraftwerk Solutions AG","Nordrhein-Westfalen","Ennepe-Ruhr-Kreis","58300","Wetter (Ruhr)","51.3889° N, 7.3927° E","Talnahe Lage, moderate Windgeschwindigkeiten","5","GE 3.8-130","3800","19.0","137","130","2026","01.11.2026","Onshore","01.11.2046","UW Wetter Süd","7-Jahres-PPA mit Regionalversorger T","Genehmigungsnr. 40/23/7778","GE Service, bis 31.12.2043","in Betrieb","","","95.9","45000","Amprion","Stadt Wetter (Ruhr)","+49 23 35234567","Datenmanagement - Timo Tal","Hanglagen erschweren Transport","\\Server\\WindparkRuhrtal\\Dokumente"
"WP_1029","Windpark Fichtelgebirge","Energie Bayern GmbH","Wind und Sonne e.V.","Bayern","Landkreis Wunsiedel im Fichtelgebirge","95632","Wunsiedel","50.0364° N, 12.0138° E","Hohes Mittelgebirge, Schneelast im Winter","6","Nordex N149","4500","27.0","125","149","2027","20.04.2027","Onshore","20.04.2047","UW Wunsiedel Ost","5-Jahres-PPA mit Oekostromanbieter U","Genehmigungsnr. 41/78/8889","Nordex Service, bis 31.12.2043","in Betrieb","","","96.3","64000","Netze BW","Stadt Wunsiedel","+49 92 34234567","Datenmanagement - Gabi Berg","Schnee- und Eismanagement noetig","\\Server\\WindparkFichtelgebirge\\Dokumente"
"WP_1030","Windpark Untermain","SolarWind GmbH","Green Investments AG","Bayern","Landkreis Miltenberg","63920","Großheubach","49.7047° N, 9.2133° E","Talnah am Main, milde Winter","8","Vestas V150","4000","32.0","145","150","2026","10.08.2026","Onshore","10.08.2046","UW Miltenberg Nord","3-Jahres-PPA mit Energieversorger V","Genehmigungsnr. 42/90/9990","Vestas Service, bis 31.12.2043","in Betrieb","","","97.4","58000","TenneT","Markt Großheubach","+49 93 71234567","Datenmanagement - Hans Main","Zufahrt über Brücke","\\Server\\WindparkUntermain\\Dokumente"
"WP_1016","Windpark Nordlicht","NordWind AG","Kraftwerk Solutions AG","Mecklenburg-Vorpommern","Landkreis Rostock","18146","Rostock","54.0924° N, 12.0991° E","Küstennahe Lage, hoher Salzgehalt in der Luft","12","Vestas V150","4000","48.0","145","150","2025","10.05.2025","Onshore","10.05.2045","UW Rostock Seehafen","3-Jahres-PPA mit Oekostromanbieter D","Genehmigungsnr. 28/56/5555","Vestas Service, bis 31.12.2042","in Betrieb","","","97.2","92000","50Hertz","Stadt Rostock","+49 38 11234567","Datenmanagement - Olaf Meer","Korrosionsschutz erforderlich","\\Server\\WindparkNordlicht\\Dokumente"
"WP_1017","Windpark Münsterland","Energie Westfalen GmbH","Kraftwerk Solutions AG","Nordrhein-Westfalen","Kreis Steinfurt","48565","Steinfurt","52.1500° N, 7.3386° E","Flaches Land, gute Erschliessung","10","Enercon E-115","3000","30.0","135","115","2023","20.04.2023","Onshore","20.04.2043","UW Steinfurt Nord","7-Jahres-PPA mit Stadtwerke J","Genehmigungsnr. 29/78/6666","Enercon, bis 31.12.2040","in Betrieb","","","95.7","68000","Amprion","Stadt Steinfurt","+49 25 11234567","Datenmanagement - Mona West","Zufahrtsweg über Privatgrundstück","\\Server\\WindparkMuensterland\\Dokumente"
"WP_1018","Windpark Spessart","SolarWind GmbH","Windkraft GmbH","Bayern","Landkreis Aschaffenburg","63820","Elsenfeld","49.8544° N, 9.1628° E","Waldreiches Mittelgebirge, eingeschränkte Zufahrt","4","Nordex N149","4500","18.0","125","149","2026","01.07.2026","Onshore","01.07.2046","UW Elsenfeld Ost","5-Jahres-PPA mit Energieversorger K","Genehmigungsnr. 30/90/7777","Nordex Service, bis 31.12.2042","in Betrieb","","","96.9","54000","TenneT","Landratsamt Aschaffenburg","+49 60 11234567","Datenmanagement - Helga Bergwald","Zufahrt nur mit Sondergenehmigung","\\Server\\WindparkSpessart\\Dokumente"
"WP_1019","Windpark Alpenrose","Energie Baden-Württemberg AG","Green Investments AG","Baden-Württemberg","Landkreis Sigmaringen","72488","Sigmaringen","48.0880° N, 9.2250° E","Alpennahe Lage, hohe Schneelast im Winter","7","GE 3.8-130","3800","26.6","137","130","2027","15.10.2027","Onshore","15.10.2047","UW Sigmaringen Süd","3-Jahres-PPA mit Oekostromanbieter E","Genehmigungsnr. 31/12/8888","GE Service, bis 31.12.2043","in Betrieb","","","97.3","62000","Netze BW","Stadt Sigmaringen","+49 75 71234567","Datenmanagement - Karl Gipfel","Schneeräumung erforderlich","\\Server\\WindparkAlpenrose\\Dokumente"
"WP_1020","Windpark Hochwald","GreenEnergy GmbH","Wind und Sonne e.V.","Saarland","Landkreis St. Wendel","66606","St. Wendel","49.4667° N, 7.1700° E","Höhenzug im Saarland, starker Wind","6","Vestas V150","4000","24.0","145","150","2024","10.03.2024","Onshore","10.03.2044","UW St. Wendel","3-Jahres-PPA mit Stadtwerke L","Genehmigungsnr. 32/45/9999","Vestas Service, bis 31.12.2041","in Betrieb","","","96.5","56000","Amprion","Kreisverwaltung St. Wendel","+49 68 51234567","Datenmanagement - Paula Sturm","Zufahrt teils über Waldwege","\\Server\\WindparkHochwald\\Dokumente"
"WP_1021","Windpark Südbaden","Energie Baden-Württemberg AG","Kraftwerk Solutions AG","Baden-Württemberg","Landkreis Breisgau-Hochschwarzwald","79100","Freiburg im Breisgau","47.9959° N, 7.8494° E","Randlage Schwarzwald, sonnige Abschnitte","8","Enercon E-115","3000","24.0","135","115","2025","01.09.2025","Onshore","01.09.2045","UW Freiburg Süd","5-Jahres-PPA mit Ökostromanbieter G","Genehmigungsnr. 33/78/0001","Enercon, bis 31.12.2042","in Betrieb","","","96.8","50000","Netze BW","Stadt Freiburg","+49 76 11234567","Datenmanagement - Birgit Sonne","Naturschutzgebiet angrenzend","\\Server\\WindparkSuedbaden\\Dokumente"
"WP_1022","Windpark Lausitz","SolarWind GmbH","Green Investments AG","Brandenburg","Spree-Neisse","03149","Forst (Lausitz)","51.7350° N, 14.6392° E","Flaches, waldreiches Gebiet, Grenznähe Polen","7","Siemens SWT-3.6","3600","25.2","125","120","2026","15.04.2026","Onshore","15.04.2046","UW Forst Nord","3-Jahres-PPA mit Energieversorger M","Genehmigungsnr. 34/56/1112","Siemens Service, bis 31.12.2043","in Betrieb","","","97.1","62000","50Hertz","Stadt Forst (Lausitz)","+49 35 51234567","Datenmanagement - Kevin Wald","Achtung Biberpopulation","\\Server\\WindparkLausitz\\Dokumente"
"WP_1023","Windpark Hunsrück","NordWind AG","Windkraft GmbH","Rheinland-Pfalz","Rhein-Hunsrück-Kreis","55469","Simmern","49.9833° N, 7.5167° E","Höhenlage im Hunsrück, gute Windverhältnisse","6","GE 3.8-130","3800","22.8","137","130","2025","01.07.2025","Onshore","01.07.2045","UW Simmern Ost","7-Jahres-PPA mit Regionalversorger N","Genehmigungsnr. 35/90/2223","GE Service, bis 31.12.2041","in Betrieb","","","96.6","58000","50Hertz","Verbandsgemeinde Simmern","+49 67 61234567","Datenmanagement - Oliver Berg","Winterdienst nötig","\\Server\\WindparkHunsrueck\\Dokumente"
"WP_1024","Windpark Jadebusen","GreenEnergy GmbH","Kraftwerk Solutions AG","Niedersachsen","Landkreis Friesland","26340","Zetel","53.4136° N, 8.0092° E","Küstennahe Marschlandschaft, starke Winde","9","Vestas V136","4000","36.0","142","136","2024","20.08.2024","Onshore","20.08.2044","UW Zetel Nord","5-Jahres-PPA mit Stadtwerke P","Genehmigungsnr. 36/12/3334","Vestas Service, bis 31.12.2041","in Betrieb","","","97.4","75000","TenneT","Gemeinde Zetel","+49 44 53234567","Datenmanagement - Nadine Küste","Deichschutzvorgaben beachten","\\Server\\WindparkJadebusen\\Dokumente"
"WP_1025","Windpark Oberhavel","SolarWind GmbH","Green Investments AG","Brandenburg","Landkreis Oberhavel","16515","Oranienburg","52.7530° N, 13.2390° E","Nahe Berlin, teils urbanes Umfeld","8","Nordex N117","2500","20.0","141","117","2025","05.06.2025","Onshore","05.06.2045","UW Oranienburg","10-Jahres-PPA mit Oekostromanbieter H","Genehmigungsnr. 37/78/4445","Nordex Service, bis 31.12.2042","in Betrieb","","","96.9","56000","50Hertz","Stadt Oranienburg","+49 33 01234567","Datenmanagement - Frank Stadt","Schallschutzauflagen in der Nähe","\\Server\\WindparkOberhavel\\Dokumente"
"WP_1026","Windpark Rheinebene","Energie Westfalen GmbH","Windkraft GmbH","Rheinland-Pfalz","Landkreis Germersheim","76726","Germersheim","49.2230° N, 8.3670° E","Flaches Rheintal, Landwirtschaftliche Flächen","7","Siemens SWT-3.6","3600","25.2","125","120","2024","01.10.2024","Onshore","01.10.2044","UW Germersheim West","3-Jahres-PPA mit Energieversorger R","Genehmigungsnr. 38/56/5556","Siemens Service, bis 31.12.2041","in Betrieb","","","96.4","60000","Amprion","Stadt Germersheim","+49 72 74234567","Datenmanagement - Ralf Rhein","Flutrisiko bei Hochwasser","\\Server\\WindparkRheinebene\\Dokumente"
